percent,パーセント
alam,アラム
archaisme,アルカイスム
alchemy,アルケミー
artisan,アルチザン
lternanthera,アルテルナンテラ
llerod,アレレード
aronia,アロニア
uncut,アンカット
underhand,アンダーハンド
anterior,アンテリアー
undo,アンドゥー
amparo,アンペラ
archaeology,アーキオロジー
isola,イゾラ
yips,イップス
iterator,イテレーター
imidazolyl,イミダゾリル
interpretation,インタープリテーション
integrator,インテグレーター
intellectual,インテレクチュアル
intrecciato,イントレチャート
inhibitor,インヒビター
infant,インファント
improvisation,インプロビゼーション
invention,インベンション
important,インポータント
whisper,ウィスパー
ita,ウィタ
welwitschia,ウェルウィッチア
uova,ウォーバ
udumbara,ウドン
undine,ウンディーネ
extreme,エク
exclamation,エクスクラメーション
extender,エクステンダー
extraneal,エクストラニール
exocytosis,エクソサイトーシス
example,エグザンプル
echolocation,エコーロケーション
escathion,エスカッション
thica,エチカ
etizolam,エチゾラム
edgy,エッジー
enumeration,エニュメレーション
enoteca,エノテカ
enormis,エノルミス
epiphany,エピファニー
epaulette,エポレット
emery,エメリー
elimination,エリミネーション
ergonomic,エルゴノミック
entity,エンティティー
enhance,エンハンス
employment,エンプロイメント
emporos,エンポロス
ocellata,オケラータ
occasion,オケージョン
ostomy,オストミー
pso,オプソ
omit,オミット
oligopeptide,オリゴペプチド
lympiad,オリンピアード
orgy,オージー
rnithogalum,オーニソガラム
awning,オーニング
overshoes,オーバーシューズ
auricularia,オーリクラリア
caiman,カイマン
counting,カウンティング
quadrille,カドリール
covering,カバーリング
caveolin,カベオリン
kopeika,カペイカ
camino,カミーノ
alligramme,カリガリ
calici,カリシ
karmijn,カルミン
carronade,カロネード
campanella,カンパネラ
cartoon,カートゥーン
cave,カーブ
gatito,ガティート
governor,ガバナー
gavotte,ガボット
galette,ガレット
xanthophyll,キサントフィル
kitaab,キターブ
catfish,キャットフィッシュ
capitalism,キャピタリズム
can,キャン
gangsta,ギャングスタ
craque,クラッキ
hlamydomonas,クラミドモナス
clerk,クラーク
crisp,クリスプ
chrysoberyl,クリソベリル
krta,クリタ
critter,クリッター
critic,クリティック
credo,クリードウ
creosote,クレオソート
klebsiella,クレブシエラ
clenching,クレンチング
crotch,クロッチ
roton,クロトン
chromatogram,クロマトグラム
hloral,クロラール
chlordane,クロルデン
guard,グアルド
gerakan,グラカン
gracias,グラシアス
gravel,グラベル
grissini,グリッシーニ
griffithianum,グリフィッシアナム
gruyere,グリュイエール
reek,グリーク
grus,グルス
gloomy,グルーミー
glare,グレア
groschen,グロッシェン
growing,グローイング
chemokine,ケモカイン
eltic,ケルティック
qere,ケレー
ermanist,ゲルマニスト
gauging,ゲージング
cosmopolitanism,コスモポリタニズム
copperfin,コッピー
ocher,コッヘル
commited,コミッテッド
collaborative,コラボレーティブ
kore,コレー
coronet,コロネット
congressional,コングレッショナル
constellation,コンステレーション
contingency,コンティンジェンシー
comtesse,コンテス
compassion,コンパッション
confect,コンフェクト
complete,コンプリート
godseffiana,ゴッドセフィアナ
scion,サイオン
sinus,サイナス
succubus,サキュバス
suction,サクション
sabian,サビアン
safflower,サフラワー
subculture,サブカル
somebody,サムバディー
syndicalisme,サンディカリスム
symboliste,サンボリスト
circulation,サーキュレーション
achertorte,ザッハトルテ
shaking,シェーキング
chere,シェーレ
signa,シグナ
citadel,シタデル
signorina,シニョリーナ
cinematheque,シネマテーク
shackle,シャックル
chateaubriand,シャトーブリアン
siam,シャム
charmant,シャルマン
champ,シャン
strasse,シュトラーセ
torche,シュトルヒ
streusel,シュトロイゼル
schlieren,シュリーレン
jukhem,シュークヘム
syntagma,シンタグマ
syntax,シンタックス
shiene,シーネ
eymouria,シームリア
dichloroethane,ジクロロエタン
dyskinesia,ジスキネジア
dimutase,ジスムターゼ
disulfiram,ジスルフィラム
dibutylhydroxytoluene,ジブチルヒドロキシトルエン
acobite,ジャコバイト
jasper,ジャスパー
judgemant,ジャッジメント
apanology,ジャパノロジー
jargon,ジャーゴン
julep,ジューレップ
zinho,ジーニョ
scouting,スカウティング
scavenger,スカベンジャー
schizo,スキゾ
cylla,スキュラ
scrape,スクレイプ
scalable,スケーラブル
stander,スタンダー
starboard,スターボード
stiffener,スティフナー
tegodon,ステゴドン
staging,ステージング
statesman,ステーツマン
structuple,ストラクタプル
structured,ストラクチャード
struvite,ストラバイト
streak,ストリーク
storge,ストルゲ
traits,ストレーツ
strongs,ストロングス
storyteller,ストーリーテラー
snooze,スヌーズ
snail,スネイル
spandex,スパンデックス
splicer,スプライサー
pelunker,スペランカー
spotter,スポッター
smell,スメル
slurry,スラリー
slant,スラント
thrips,スリップス
sulfo,スルホ
swab,スワブ
upermotard,スーパーモタード
sexology,セクソロジー
cep,セップ
sethoxydim,セトキシジム
seventh,セブンス
cerrado,セラード
ephyrus,ゼフィルス
solaria,ソラリア
sorghum,ソルガム
zonisamide,ゾニサミド
township,タウンシップ
tabula,タブラ
tablier,タブリエ
amarisk,タマリスク
tarantella,タランテラ
down,ダウン
damier,ダミエ
dangling,ダングリング
acha,ダーチャ
cherish,チェリッシュ
hicano,チカノ
ibetan,チベッタン
chimney,チムニー
chumpi,チュンピ
tyramine,チラミン
cheek,チーク
cheat,チート
suglagkhang,ツクラカン
tippet,ティペット
teacch,ティーチ
hecodonts,テコドント
testing,テスティング
tetrapod,テトラポッド
terrible,テリブル
hermos,テルモス
tenth,テンス
tentative,テンタティブ
tailgate,テールゲート
ixieland,ディキシーランド
distiller,ディスティラー
divine,ディバイン
divot,ディボット
dilettantism,ディレッタンティズム
dimple,ディンプル
diva,ディーバ
design,デザイン
deadline,デッドライン
degli,デッリ
debugger,デバッガー
dehydrogenase,デヒドロゲナーゼ
debutante,デビュッタント
debridement,デブリドマン
demitasse,デミタス
dynamis,デュナミス
date,デーツ
topica,トピカ
trousers,トラウザーズ
trattoria,トラットリア
transaminase,トランスアミナーゼ
transcription,トランスクリプション
transcytosis,トランスサイトーシス
transparency,トランスペアレンシー
trade,トレード
tonk,トンク
drivability,ドライバビリティー
nationalistic,ナショナリスティック
nihilistic,ニヒリスティック
nyaya,ニヤーヤ
neuropathy,ニューロパチー
nymphet,ニンフェット
nuclease,ヌクレアーゼ
nucleocapsid,ヌクレオカプシド
neighbor,ネイバー
neocolonialism,ネオコロニアリズム
necropolis,ネクロポリス
necromancer,ネクロマンサー
egrito,ネグリト
noema,ノエマ
note,ノーパソ
nomenklatura,ノーメンクラツーラ
known,ノーン
housekeeper,ハウスキーパー
anukah,ハヌカー
habanera,ハバネラ
halau,ハラウ
bipod,バイポッド
bilateral,バイラテラル
bowwow,バウワウ
altica,バルティカ
barbarian,バーバリアン
paddling,パドリング
panini,パニーニ
pavane,パバーヌ
papain,パパイン
parainfluenza,パラインフルエンザ
paraquat,パラコート
parano,パラノ
parish,パリッシュ
parrot,パロット
perfluorocompounds,パーフルオロカーボン
histidine,ヒスチジン
hidden,ヒドゥン
hydroxyzine,ヒドロキシジン
filhos,ヒリョウズ
visual,ビジュ
bismuth,ビスマス
village,ビラージュ
vita,ビータ
pyrethrin,ピレトリン
pyrrole,ピロール
founder,ファウンダー
fountain,ファウンテン
fathercomplex,ファザコン
farfalle,ファルファッレ
phytol,フィトール
fibroin,フィブロイン
philharmonic,フィルハーモニック
ederalist,フェデラリスト
phenanthroline,フェナントロリン
femto,フェムト
ferroalloy,フェロアロイ
foggy,フォギー
fortissimo,フォルティッシモ
forger,フォージャー
fauve,フォーブ
former,フォーマー
n,フックンシュート
fury,フューリー
fragment,フラグメント
flan,フラン
butanol,ブタノール
butene,ブテン
butorphanol,ブトルファノール
bradykinin,ブラジキニン
lassreiter,ブラスレイター
burka,ブルカ
breast,ブレスト
rotchen,ブレートヘン
brocade,ブロケード
brotizolam,ブロチゾラム
boudoir,ブードワ
pushdown,プッシュダウン
plus,プラス
plasminogen,プラスミノーゲン
pratique,プラティーク
plage,プラージュ
primidone,プリミドン
prednisolone,プレドニゾロン
production,プロ
procaine,プロカイン
procalcitonin,プロカルシトニン
procurator,プロクラトル
prodigy,プロディジー
prodrug,プロドラッグ
propria,プロプリア
punto,プント
pourpoint,プールポアン
hedera,ヘデラ
hemicellulose,ヘミセルロース
barebone,ベアボーン
vapor,ベイパー
vesiga,ベジガ
vegetarianism,ベジタリアニズム
belle,ベル
berlingo,ベルランゴ
berlinetta,ベルリネッタ
pesco,ペスコ
fennig,ペニヒ
eripheria,ペリフェリア
pendimethalin,ペンディメタリン
hoki,ホキ
honky,ホンキー
boar,ボア
vocational,ボケーショナル
bottled,ボトルド
bonobo,ボノボ
volcano,ボルケーノ
volta,ボルタ
odophyllotoxin,ポドフィロトキシン
polonium,ポロニウム
aiasaura,マイアサウラ
acaca,マカク
macrame,マクラメ
magnesia,マグネシア
magnetic,マグネチック
magnetron,マグネトロン
maquette,マケット
masker,マスカー
matin,マタン
massager,マッサージャー
madrigal,マドリガル
manatee,マナティー
monetarist,マネタリスト
arquise,マルキーズ
mulch,マルチ
multitrack,マルチトラック
multipath,マルチパス
myelin,ミエリン
microsome,ミクロソーム
mistress,ミストレス
minim,ミニム
ilanese,ミラネーゼ
miltonia,ミルトニア
milonga,ミロンガ
mousseux,ムスー
ouseion,ムセイオン
mulla,ムッラー
mucho,ムーチョ
mesa,メサ
esser,メッセル
metronidazole,メトロニダゾール
menace,メナス
meniscus,メニスカス
melisma,メリスマ
melodic,メロディック
mentaltraining,メントレ
mozarabe,モサラベ
modifier,モディファイアー
monoamine,モノアミン
monotype,モノタイプ
yaksa,ヤクシャ
unilateralism,ユニラテラリズム
ubiquitin,ユビキチン
ugendstil,ユーゲントシュティール
usual,ユージュアル
eurythmics,ユーリズミックス
urailpass,ユーレールパス
yeoman,ヨーマン
yotropic,ライオトロピック
rounder,ラウンダー
laesio,ラエシオ
ragout,ラグー
adiosonde,ラジオゾンデ
uddite,ラッダイト
latebra,ラテブラ
rapid,ラピート
raptor,ラプター
lapel,ラペル
lavoro,ラボーロ
amarckism,ラマルキズム
runaway,ランナウェイ
age,ラーゲ
ricin,リシン
lithosphere,リソスフェア
italin,リタリン
returner,リターナー
return,リターン
ituxan,リツキサン
literature,リテラチュア
retailer,リテーラー
ritonavir,リトナビル
leucocoryne,リューココリネ
libre,リーブル
ugol,ルゴール
udus,ルダス
lieutenant,ルテナン
evox,ルボックス
leghorn,レグホン
respirator,レスピレーター
retrospective,レトロスペクティブ
repossessman,レポマン
religion,レリジョン
raking,レーキング
lakeside,レークサイド
ladle,レードル
locator,ロケーター
logotype,ロゴタイプ
rowing,ローイング
losier,ロージエ
lowprofile,ロープロ
launch,ローンチ
wind,ワインド
identify,アイデンティファイ
aisle,アイル
utarkie,アウタルキー
ouch,アウチ
outperform,アウトパフォーム
uftakt,アウフタクト
agar,アガー
accuracy,アキュラシー
aquatic,アクアティック
acceptance,アクセプタンス
actinomycin,アクチノマイシン
acrinol,アクリノール
grobacterium,アグロバクテリウム
ascorbinase,アスコルビナーゼ
hasta,アスタ
astron,アストロン
asp,アスプ
athleticism,アスレティシズム
assemble,アセンブル
addition,アディション
atomos,アトモス
attractor,アトラクター
adonis,アドニス
adobo,アドボ
advocaat,アドボカート
anamorphosis,アナモルフォーシス
analyze,アナライズ
anarthria,アナルトリー
anonyme,アノニム
apadravya,アパトラビア
aji,アヒ
aviation,アビエーション
aviator,アビエーター
appetizer,アピタイザー
apocalypse,アポカリプス
apologist,アポロジスト
amylose,アミロース
alight,アライト
argent,アラザン
ricept,アリセプト
allure,アリュアー
aryl,アリール
archive,アルシーブ
arthroderma,アルスロデルマ
alpinism,アルピニズム
arbutin,アルブチン
alprazolam,アルプラゾラム
arlequin,アルルカン
lloying,アロイング
allopurinol,アロプリノール
aromatic,アロマティック
ngina,アンギーナ
nseilen,アンザイレン
ngelic,アンジェリック
andarat,アンダーラート
anthocyan,アントシアン
androgynous,アンドロギュノス
unknown,アンノーン
ambient,アンビエント
archaea,アーケア
arbaleste,アーバレスト
mish,アーミッシュ
armory,アーモリー
ikat,イカット
yperite,イペリット
illustrated,イラストレーテッド
eland,イランド
increment,インクリメント
ingot,インゴット
intercontinental,インターコンチ
internationalism,インターナショナリズム
international,インターナショナル
interlock,インターロック
ndacin,インダシン
integrate,インテグレート
indocyanine,インドシアニン
impeller,インペラー
iman,イーマーン
without,ウィズアウト
waistbelt,ウエストベルト
washable,ウォッシャブル
wanna,ウォナ
wardii,ウォーディー
ulin,ウリン
ursodeoxycholic,ウルソデオキシコール
,ウンマ
expansion,エクスパンション
explosion,エクスプロージョン
eccentricity,エクセントリシティー
ecrevisse,エクルビス
examiner,エグザミナー
escada,エスカーダ
estazoram,エスタゾラム
estimate,エスティメート
espace,エスパス
eggnog,エッグノッグ
enema,エネマ
ebonite,エボナイト
evolte,エボルテ
emulation,エミュレーション
ergosterol,エルゴステロール
ermetismo,エルメティズモ
erecta,エレクタ
ancient,エンシェント
entitle,エンタイトル
entasis,エンタシス
embankment,エンバンクメント
aged,エージド
oxatomide,オキサトミド
oxypentalum,オキシペタラム
oscillator,オシレーター
onanism,オナニズム
onaniehole,オナホール
obtusifolia,オブッシフォリア
oratio,オラショ
original,オリジナル
orifice,オリフィス
alter,オルター
ornithomimus,オルニトミムス
angstrom,オングストローム
ochre,オーカー
ordering,オーダリング
automat,オートマット
allpaint,オールペン
assia,カシア
kazoo,カズー
cathode,カソード
cupping,カッピング
cadenas,カデナ
canequim,カナキン
kaffiyeh,カフィエ
afiya,カフィヤ
cabochon,カボション
kamerere,カメレレ
alappa,カラッパ
carnevale,カルナバル
cancan,カンカン
canzonetta,カンツォネッタ
kantor,カントル
carbuncle,カーバンクル
calming,カーミング
calm,カーム
eist,ガイスト
gaur,ガウア
gaviota,ガビオタ
alliot,ガリオット
ganciclovir,ガンシクロビル
issling,キスリング
cask,キャスク
carburetor,キャブ
carriage,キャリッジ
cant,キャント
ingly,キングリー
guilty,ギルティー
ueichouphyllum,クエイチョウフィルム
quo,クオ
uore,クオレ
crouching,クラウチング
crushed,クラッシュド
craftsman,クラフトマン
hrysanthemum,クリサンセマム
clinometer,クリノメーター
crinoline,クリノリン
clinker,クリンカー
crisis,クリーゼ
credenza,クレデンザ
croise,クロイス
reuzer,クロイツァー
clobazam,クロバザム
chromatin,クロマチン
chloride,クロライド
gladius,グラディウス
granite,グラニット
grub,グラブ
glycosyl,グリコシル
gluconate,グルコネート
raded,グレーディッド
grapevine,グレープバイン
glossy,グロッシー
globalist,グローバリスト
cairn,ケルン
ewandhaus,ゲバントハウス
gehenna,ゲヘナ
ewurztraminar,ゲベルツトラミネール
koine,コイネー
costa,コスタ
koso,コソ
omuneros,コムネーロス
comune,コムーネ
corazon,コラソン
colada,コラーダ
choriogenin,コリオジェニン
concise,コンサイス
contender,コンテンダー
conditionality,コンディショナリティー
confidence,コンフィデンス
convection,コンベクション
coastal,コースタル
coder,コーダー
cortisone,コーチゾン
cooperativehouse,コーハウス
corporatehouse,コーポラス
sizing,サイジング
cytosol,サイトゾル
sideout,サイドアウト
subscription,サブスクリプション
salamander,サラマンダー
sartoria,サルトリア
sarvodaya,サルボダヤ
antngelo,サンタンジェロ
symbolisme,サンボリスム
surfrider,サーフライダー
seersucker,シアサッカー
cyanoacrylate,シアノアクリレート
haise,シェーズ
cystatin,シスタチン
siciliana,シチリアーナ
sixth,シックスス
sixteen,シックスティーン
sit,シット
shipper,シッパー
citric,シトリック
synaptosome,シナプトソーム
seigniorage,シニョリッジ
signora,シニョーラ
simultaneisme,シミュルタネイスム
chatnoir,シャノワール
shallot,シャロット
chambray,シャンブレー
charlatan,シャーラタン
herlockian,シャーロッキアン
piegel,シュピーゲル
chmalenbach,シュマーレンバッハ
choucroute,シュークルート
shortbread,ショートブレッド
chauffeur,ショーファー
showmanship,ショーマンシップ
sirena,シレナ
synthase,シンターゼ
diisocyanate,ジイソシアネート
genotype,ジェノタイプ
geoid,ジオイド
jigger,ジガー
distoma,ジストマ
dihydropyridine,ジヒドロピリジン
gibberellin,ジベレリン
apanology,ジャパノロジスト
jump,ジャンプ
etaime,ジュテーム
jobber,ジョバー
ohns,ジョンズ
zircon,ジルコン
diltiazem,ジルチアゼム
sweeper,スイーパー
skiing,スキーイング
scrambled,スクランブルド
scoot,スクート
kepsis,スケプシス
tatice,スターチス
stellar,ステラー
stentless,ステントレス
stocker,ストッカー
tock,ストック
stomacher,ストマッカー
strategist,ストラテジスト
strain,ストレイン
snipe,スナイプ
sneak,スニーク
species,スピーシーズ
spry,スプライ
slippy,スリッピー
slingshot,スリングショット
sulfadiazine,スルファジアジン
vezda,ズベズダ
scenic,セニック
senator,セネター
cephamycin,セファマイシン
semester,セメスター
sertoli,セルトリ
selva,セルバ
sensationalism,センセーショナリズム
centennial,センテニアル
semmel,ゼンメル
socio,ソシオ
softcover,ソフトカバー
solita,ソリター
sorter,ソーター
zopiclone,ゾピクロン
zona,ゾーナ
typography,タイポグラフィー
timeless,タイムレス
tactical,タクティカル
tuff,タフ
tuft,タフト
tamoxifen,タモキシフェン
talc,タルク
talon,タロン
tandospirone,タンドスピロン
terminate,ターミネート
dire,ダイアー
dilution,ダイリューション
damsite,ダムサイト
darwaza,ダルワザ
dirt,ダート
derma,ダーマ
chesterfield,チェスターフィールド
cervo,チェルボ
celesta,チェレスタ
ticlopidine,チクロピジン
chipping,チッピング
choke,チョーク
chili,チリ
chill,チル
tyrosinase,チロシナーゼ
cinque,チンクエ
yklus,ツィクルス
zeug,ツォイク
tiede,ティエド
teeing,ティーイング
tecoma,テコマ
terpenoid,テルペノイド
telescopic,テレスコピック
telepathist,テレパシスト
telehealth,テレヘルス
telemarketing,テレマーケティング
telemetry,テレメトリー
telomerase,テロメラーゼ
tempering,テンパリング
tapered,テーパード
diem,ディエム
disinformation,ディスインフォメーション
disqualifying,ディスクオリファイング
detector,ディテクター
dito,ディト
differ,ディファー
defending,ディフェンディング
ixie,デキシー
decrescendo,デクレッシェンド
deconstruction,デコンストラクション
decoding,デコーディング
deci,デシ
desperado,デスペラード
desmopressin,デスモプレシン
detachable,デタッチャブル
deformer,デフォルメ
efcon,デフコン
debris,デブリ
demonstrator,デモンストレーター
twentieth,トゥエンティース
urnen,トゥルネン
tourbillon,トゥールビヨン
topper,トッパー
topoisomerase,トポイソメラーゼ
topological,トポロジカル
triangular,トライアンギュラー
tribology,トライボロジー
rappist,トラピスト
transformation,トランスフォーメーション
triennale,トリエンナーレ
trimebutine,トリメブチン
toluidine,トルイジン
trueno,トレノ
tolerant,トレラント
tropic,トロピック
troncone,トロンコーニ
thrombotest,トロンボテスト
tonus,トーヌス
orada,ドラーダ
drifter,ドリフター
dribbler,ドリブラー
drake,ドレーク
drome,ドローム
dosha,ドーシャ
dautomn,ドートンヌ
ninth,ナインス
naloxone,ナロキソン
nangka,ナンカ
nitrocellulose,ニトロセルロース
pneumocystis,ニューモシスティス
nudist,ヌーディスト
nutria,ヌートリア
neoclassicism,ネオクラシシズム
eoplatonism,ネオプラトニズム
nectarine,ネクタリン
egroid,ネグロイド
ephilim,ネフィリム
nonion,ノニオン
notice,ノーティス
hydrangea,ハイドランジア
highpass,ハイパス
hind,ハインド
halakhah,ハラカ
allenkirche,ハレンキルヘ
alothane,ハロタン
fumble,ハンブル
halftone,ハーフトーン
harvester,ハーベスター
violent,バイオレント
bicultural,バイカルチャル
viper,バイパー
bout,バウト
bouncing,バウンシング
baggage,バゲージ
basculante,バスクランテ
asthi,バスティー
bassdrum,バスドラ
batiste,バチスト
baryta,バライタ
burr,バリ
bulky,バルキー
vardenafil,バルデナフィル
barosaurus,バロサウルス
vanguard,バンガード
berth,バース
urmese,バーミーズ
pilder,パイルダー
pause,パウゼ
paulista,パウリスタ
packet,パケ
pastrami,パストラミ
pastoral,パストラル
paternalistic,パターナリスティック
punisher,パニッシャー
pamor,パモール
parametric,パラメトリック
parallax,パララックス
panpipes,パンパイプ
purpose,パーパス
humanistic,ヒューマニスティック
bialaphos,ビアラホス
viande,ビアンド
viyella,ビエラ
viole,ビオール
beguine,ビギン
islama,ビスラマ
vivant,ビバン
vif,ビフ
believer,ビリーバー
vinca,ビンカ
vincristine,ビンクリスチン
beastie,ビースティー
beatnik,ビートニク
piatto,ピアット
piezo,ピエゾ
itahaya,ピタヤ
pitting,ピッティング
pittori,ピトリ
pina,ピニャ
physis,ピュシス
pugilistica,ピュージリスティカ
peapod,ピーポッド
faille,ファイユ
pharmacy,ファーマシー
fixing,フィキシング
fifteen,フィフティーン
fibril,フィブリル
euilletage,フィユタージュ
feuilletine,フィユティーヌ
phylloxera,フィロキセラ
feijoada,フェジョアーダ
phenylbutazone,フェニルブタゾン
phenotype,フェノタイプ
phenology,フェノロジー
feria,フェリア
feerie,フェリエ
ferryboat,フェリーボート
phaeton,フェートン
fable,フェーブル
faire,フェール
forex,フォレックス
oro,フォロ
hussar,フザール
fuchsia,フューシャ
flush,フラッシュ
flutist,フルーティスト
reude,フロイデ
frosty,フロスティー
frottage,フロッタージュ
uynuiy,ブイヌイ
butadiene,ブタジエン
butyrophenone,ブチロフェノン
blush,ブラッシュ
breathing,ブリージング
ruschetta,ブルスケッタ
boulangerie,ブーランジェリー
pusher,プッシャー
plesetan,プレセタン
pressing,プレッシング
playboy,プレボ
planing,プレーニング
ploy,プロイ
program,プログラム
processing,プロセシング
prosecco,プロセッコ
plotter,プロッター
protoplast,プロトプラスト
probit,プロビット
providence,プロビデンス
heterodimer,ヘテロダイマー
ebraism,ヘブライズム
hemophilia,ヘモフィリア
helicoid,ヘリコイド
heliconia,ヘリコニア
ayesian,ベイジアン
vesicle,ベシクル
vellum,ベラム
belles,ベリエス
belcanto,ベルカント
verseau,ベルソー
elocity,ベロシティー
bellows,ベローズ
benzalkonium,ベンザルコニウム
benzidine,ベンジジン
pethidine,ペチジン
pedesral,ペデスタル
peroxisome,ペルオキシソーム
percheron,ペルシュロン
perospirone,ペロスピロン
pager,ページャー
hoist,ホイスト
hospitalism,ホスピタリズム
phosphatidylcholine,ホスファチジルコリン
honu,ホヌ
honing,ホーニング
vocoder,ボコーダー
voltammetry,ボルタンメトリー
bonbonniere,ボンボニエール
bowing,ボーイング
posiresist,ポジレジスト
posterior,ポステリア
popularity,ポピュラリティー
pomato,ポマト
pomme,ポム
polyclinic,ポリクリニック
polishing,ポリッシング
poison,ポワゾン
pontoon,ポンツーン
pomponette,ポンポネット
pollo,ポーヨー
poling,ポーリング
pollen,ポーレン
microsurgery,マイクロサージェリー
magasin,マガザン
machinist,マシニスト
azia,マジア
mastiff,マスチフ
matic,マチック
masher,マッシャー
mouthpiece,マッピ
manna,マナ
aharani,マハラニ
mahalo,マハロ
maprotiline,マプロチリン
malachite,マラカイト
arranos,マラーノ
multichannel,マルチチャネル
multiplex,マルチプレックス
mantel,マンテル
andrake,マンドレーク
mercantile,マーカンタイル
marbling,マーブリング
mianserin,ミアンセリン
myeloma,ミエローマ
miconazole,ミコナゾール
misery,ミザリー
minicycle,ミニサイクル
mutation,ミューテーション
myrrha,ミルラ
meerkat,ミーアキャット
mesyl,メシル
etrik,メトリック
menaquinone,メナキノン
evalotin,メバロチン
menstruation,メンストルエーション
makeup,メーキャップ
moire,モアレ
monazite,モナザイト
monopolar,モノポーラー
mobilier,モビリエ
moped,モペッド
morin,モリン
mollie,モーリー
mogol,モール
yardstick,ヤードスティック
yourself,ユアセルフ
unite,ユナイト
heureka,ユリイカ
odoform,ヨードホルム
liar,ライアー
eitmotiv,ライトモティーフ
loudspeaker,ラウドスピーカー
larkspur,ラクスパー
lactoferrin,ラクトフェリン
rag,ラグ
agdoll,ラグドール
rascal,ラスカル
lapageria,ラパゲリア
afflesia,ラフレシア
langra,ラングラー
ancho,ランチョ
rambutan,ランブータン
ligature,リガチャー
recourse,リコース
resortcasino,リゾカジ
retainer,リテーナー
ritornello,リトルネッロ
riverain,リバレイン
reversi,リバーシ
refinance,リファイナンス
rifampicin,リファンピシン
reflow,リフロー
liminality,リミナリティー
remember,リメンバー
imoncello,リモンチェッロ
riyal,リヤール
relative,リラティブ
leek,リーキ
lethal,リーサル
leaving,リービング
leap,リープ
iebe,リーベ
rugiada,ルジアダ
rubashka,ルバシカ
later,レイター
equios,レキオス
redox,レドックス
recht,レヒト
levomepromazine,レボメプロマジン
reporting,レポーティング
lenten,レンテン
racism,レーシズム
rhema,レーマ
loin,ロイン
locanda,ロカンダ
rosin,ロジン
robust,ロバスト
oborovskii,ロボロフスキー
omano,ロマーノ
localization,ローカライゼーション
lowbrow,ローブロー
andervogel,ワンゲル
wand,ワンド
icy,アイシー
ine,アイネ
aus,アウス
austral,アウストラル
aulos,アウロス
akathisia,アカシジア
aqualung,アクアラング
axon,アクソン
activist,アクティビスト
activator,アクティベーター
acridine,アクリジン
acoustic,アコースティック
assiette,アシェット
asha,アシャ
ajuga,アジュガ
djuvant,アジュバント
asteroid,アステロイド
astringent,アストリンゼン
assessor,アセッサー
aceto,アセト
acetanilide,アセトアニリド
ssociation,アソシアシオン
achar,アチャール
atm,アトム
anamorphic,アナモフィック
avalanche,アバランシュ
avalanche,アバランチ
appearance,アピアランス
apheresis,アフェレーシス
affordance,アフォーダンス
ptos,アプトス
apnomonitor,アプノモニター
apply,アプライ
amitriptyline,アミトリプチリン
minoleban,アミノレバン
alcazar,アルカサル
rgand,アルガン
lkylbenzene,アルキルベンゼン
alkyne,アルキン
arkhe,アルケー
llgemeine,アルゲマイネ
ldrin,アルドリン
aldose,アルドース
rbekacin,アルベカシン
allemande,アルマンド
alexithymic,アレキシサイミック
allopathic,アロパシー
aromatase,アロマターゼ
alors,アロール
angiography,アンギオグラフィ
angiopathy,アンギオパチー
nglican,アングリカン
ngraecum,アングレクム
underachiever,アンダーアチーバー
enfant,アンファン
angeles,アンヘレス
equipment,イクイップメント
iconographie,イコノグラフィー
eject,イジェクト
isopropanol,イソプロパノール
idant,イダント
ideologisch,イデオロギッシュ
inositol,イノシトール
imipramine,イミプラミン
immunization,イミュナイゼーション
ressa,イレッサ
rreelle,イレール
inn,イン
incorporated,インコーポレーテッド
insulator,インシュレーター
institutional,インスティチューショナル
instinct,インスティンクト
interoperability,インターオペラビリティー
intercourse,インターコース
intuit,インチュイット
intensifier,インテンシファイアー
indexing,インデキシング
infiorata,インフィオラータ
influence,インフルエンス
implication,インプリケーション
imprinting,インプリンティング
improviser,インプロバイザー
investigation,インベスティゲーション
impetus,インペトス
witness,ウィットネス
weep,ウィープ
whisker,ウイスカー
elsh,ウェルシュ
washing,ウォッシング
watering,ウォータリング
uvala,ウバーレ
urushiol,ウルシオール
urochrome,ウロクロム
airedale,エアデール
eighth,エイス
usthenopteron,エウステノプテロン
extranet,エキストラネット
exon,エキソン
exercise,エクサ
exceed,エクシード
exponent,エクスポーネント
excess,エクセス
exact,エグザクト
estrone,エストロン
ethnomethodology,エスノメソドロジー
ethinyl,エチニル
ete,エテ
epigallocatechin,エピガロカテキン
epigraph,エピグラフ
pidendrum,エピデンドラム
everybody,エブリボディ
ebony,エボニー
emo,エモ
elastomer,エラストマー
aliasing,エリアジング
erinacine,エリナシン
ergometer,エルゴメーター
aileron,エルロン
,エンキアンサス
enthusiast,エンスー
enduro,エンデューロ
endrin,エンドリン
enhanced,エンハンスド
empanada,エンパナーダ
oiled,オイルド
occultist,オカルティスト
occultism,オカルティズム
occupied,オキュパイド
occupation,オキュペーション
octylphenol,オクチルフェノール
occlusion,オクルージョン
ostia,オスチヤ
otto,オット
obligation,オブリゲーション
optimistic,オプティミスティック
opportunist,オポチュニスト
opportunity,オポチュニティー
opossum,オポッサム
oligomer,オリゴマー
orcein,オルセイン
alternate,オルタネート
onze,オンズ
austemper,オーステンパ
ostrich,オーストリッチ
audiovisual,オーディオビジュアル
autocrine,オートクリン
autoclave,オートクレーブ
automatisme,オートマティスム
automotive,オートモーティブ
